Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",0402,2,1uF,https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923
"C11, C12, C17, C2, C3, C4, C5, C6, C7, C8, C9",0402,11,0.1uF,https://jlcpcb.com/partdetail/1877-CL05B104KO5NNNC/C1525
"C13, C14",0402,2,10uF,https://jlcpcb.com/partdetail/16204-CL05A106MQ5NUNC/C15525
"C15, C16",0402,2,33pF,https://jlcpcb.com/partdetail/1914-0402CG330J500NT/C1562
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,https://jlcpcb.com/partdetail/Korean_HropartsElec-TYPE_C_31_M12/C165948
"J2, J4",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,https://jlcpcb.com/partdetail/51993-2_54_1_20PStraightpin/C50981
J3,PinHeader_1x03_P2.54mm_Vertical,1,1x3,https://jlcpcb.com/partdetail/25717-1_27_13PPin/C24980
J5,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01,not on LCSC
"R1, R2",0402,2,5.1K,https://jlcpcb.com/partdetail/26648-0402WGF5101TCE/C25905
"R3, R4",0402,2,27,https://jlcpcb.com/partdetail/1445-RC02K360JT/C1093
"R5, R7",0402,2,1K,https://jlcpcb.com/partdetail/12256-0402WGF1001TCE/C11702
R6,0402,1,10K,https://jlcpcb.com/partdetail/26274-0402WGJ0103TCE/C25531
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,https://www.lcsc.com/product-detail/C2837531.html
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,2040,https://jlcpcb.com/partdetail/LumbergAutomation-2040/C18129058
U2,SOT-23,1,MCP,https://jlcpcb.com/partdetail/MicrochipTech-MCP1700_3302ETO/C511277
U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,Mem,https://jlcpcb.com/partdetail/WinbondElec-W25Q16JVSSIQ/C82317
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,https://jlcpcb.com/partdetail/NDK-NX3225GA_12MHZ_STD_CRG2/C481407